institute_id,institute,institute_short_name,institute_type,iit_generation,nit_region,is_top_tier_college
1,"Assam University, Silchar","Assam University, Silchar",GFTI,Not IIT,Not NIT,False
2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Atal Bihari Vajpayee IIIT & Management Gwalior,IIIT,Not IIT,Not NIT,True
3,"Birla Institute of Technology, Deoghar Off-Campus","Birla Institute of Technology, Deoghar Off-Campus",GFTI,Not IIT,Not NIT,False
4,"Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi",GFTI,Not IIT,Not NIT,False
5,"Birla Institute of Technology, Patna Off-Campus","Birla Institute of Technology, Patna Off-Campus",GFTI,Not IIT,Not NIT,False
6,CU Jharkhand,CU Jharkhand,GFTI,Not IIT,Not NIT,False
7,"Central Institute of Technology Kokrajar, Assam","Central Institute of Technology Kokrajar, Assam",GFTI,Not IIT,Not NIT,False
8,Central University of Haryana,Central University of Haryana,GFTI,Not IIT,Not NIT,False
9,Central University of Jammu,Central University of Jammu,GFTI,Not IIT,Not NIT,False
10,"Central University of Rajasthan, Rajasthan","Central University of Rajasthan, Rajasthan",GFTI,Not IIT,Not NIT,False
11,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)","Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",GFTI,Not IIT,Not NIT,False
12,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Dr. B R Ambedkar NIT, Jalandhar",NIT,Not IIT,North,False
13,"Gati Shakti Vishwavidyalaya, Vadodara","Gati Shakti Vishwavidyalaya, Vadodara",GFTI,Not IIT,Not NIT,False
14,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",GFTI,Not IIT,Not NIT,False
15,"Gurukula Kangri Vishwavidyalaya, Haridwar","Gurukula Kangri Vishwavidyalaya, Haridwar",GFTI,Not IIT,Not NIT,False
16,HNB Garhwal University Srinagar (Garhwal),HNB Garhwal University Srinagar (Garhwal),GFTI,Not IIT,Not NIT,False
17,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,IIIT,Not IIT,Not NIT,False
18,"Indian Institute of Carpet Technology, Bhadohi","Indian Institute of Carpet Technology, Bhadohi",GFTI,Not IIT,Not NIT,False
19,"Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur",GFTI,Not IIT,Not NIT,False
20,"Indian Institute of Food Processing Technology, Thanjavur, Tamil Nadu","Indian Institute of Food Processing Technology, Thanjavur, Tamil Nadu",GFTI,Not IIT,Not NIT,False
21,"Indian Institute of Handloom Technology(IIHT), Varanasi","Indian Institute of Handloom Technology(IIHT), Varanasi",GFTI,Not IIT,Not NIT,False
